epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,488.545,1.42971,1.72732,1.13266,0.31054,0.56903,0.40368,0.34285,0.86332,1.73018,1.0613,0.000848969,0.000848969,0.000848969
43,500.77,1.42315,1.65127,1.11786,0.63851,0.51436,0.38911,0.33498,0.87134,1.74242,1.05862,0.000834822,0.000834822,0.000834822
44,512.468,1.39984,1.56148,1.09017,0.63107,0.5089,0.38524,0.3098,0.98036,1.76663,1.07652,0.000820675,0.000820675,0.000820675
45,524.122,1.42984,1.57259,1.08488,0.63107,0.5089,0.38524,0.3098,0.98036,1.76663,1.07652,0.000806528,0.000806528,0.000806528
46,535.853,1.34332,1.55987,1.10554,0.63251,0.47619,0.37442,0.29359,0.98462,1.71925,1.07925,0.00079238,0.00079238,0.00079238
47,547.47,1.42793,1.5814,1.1306,0.84704,0.42754,0.39737,0.33233,0.92036,1.68958,1.05582,0.000778233,0.000778233,0.000778233
48,559.164,1.28161,1.59083,1.0694,0.51443,0.42265,0.39928,0.34787,0.88546,1.70229,1.03674,0.000764086,0.000764086,0.000764086
49,570.888,1.23895,1.53694,1.06879,0.51443,0.42265,0.39928,0.34787,0.88546,1.70229,1.03674,0.000749939,0.000749939,0.000749939
50,582.614,1.32448,1.58365,1.05215,0.31338,0.47619,0.40099,0.35141,0.86717,1.69032,1.03102,0.000735792,0.000735792,0.000735792
51,594.319,1.31813,1.48402,1.04202,0.30038,0.52381,0.35409,0.29533,0.89674,1.75928,1.02039,0.000721645,0.000721645,0.000721645
52,605.912,1.38539,1.53938,1.06389,0.25417,0.52381,0.35813,0.29522,0.83241,1.94081,0.99709,0.000707498,0.000707498,0.000707498
53,617.528,1.29491,1.53586,1.07166,0.25417,0.52381,0.35813,0.29522,0.83241,1.94081,0.99709,0.000693351,0.000693351,0.000693351
54,629.252,1.23944,1.44896,1.0497,0.21548,0.39446,0.36595,0.31265,0.81397,2.07124,0.9992,0.000679204,0.000679204,0.000679204
